"APV","ATV","IDV","LPV","NFV","RTV","SQV"
2.5,6.6,6,2.4,121,2,15
14,54,49,112,81,200,48
5.1,NA,22.8,33.5,34.7,77,8.9
NA,NA,0.4,0.4,14,0.3,0.3
3.2,NA,22.7,2.7,87.2,4.1,11.8
25,4.2,5,11,7.7,9.6,1.9
6.4,0.6,14,53,3.9,8.2,0.7
NA,NA,1,0.7,1.6,1.3,0.9
6.8,4.5,10,8.7,11,16,0.8
NA,NA,1.4,1.4,59,2.3,2.5
1,2.3,5.3,6.3,7.2,23,1.6
NA,NA,1.2,1.4,1.8,1.6,0.9
0.9,2.4,2.4,1.4,12,1.8,2.1
0.5,NA,0.3,NA,0.6,0.3,0.2
12,12,21,11,21,32,4.6
1.8,34,14,7.9,400,37,87
110,141,400,400,400,400,400
13,7.4,30,46,47,95,1.5
NA,NA,1.3,0.3,5.4,2.1,1.2
3.7,2.3,9.6,30,12,19,2.1
1,1.5,1.4,1,2.9,2.6,1.5
1.7,1.4,1.7,1.4,3,1.6,1.1
NA,NA,3.5,0.9,8,4.4,1.7
0.7,1.2,1.2,0.7,1.5,0.9,0.8
NA,NA,1.9,2.2,9.2,3.4,3.9
9,170,400,72,130,86,400
24,2.2,400,240,56,150,2
0.2,6.1,3.7,0.7,12,0.9,1
1,0.9,0.9,0.7,1.3,1.1,1
1.4,1.2,1.5,1.1,1.5,0.9,0.7
NA,NA,1.6,0.8,2.2,1,1.1
4.5,14,16,6.4,22,51,4.9
1.1,NA,0.6,NA,1.2,1.3,0.7
0.5,NA,0.6,NA,0.8,0.5,0.6
4,NA,16,NA,34,5.5,5.9
5.3,NA,12,NA,3.5,3.3,1.3
100,NA,13,43,55,81,41
56,2.5,9.1,39,19,27,21
1.7,5.4,10,2.8,21,6.1,17
3.2,NA,6.4,NA,4,12.1,3.1
5.2,NA,20.3,NA,34.7,100,91
2.2,NA,4.4,NA,3.4,5.9,0.8
0.4,NA,0.9,NA,11.1,0.9,0.4
2.3,NA,1.2,NA,2,2.1,1.2
0.4,NA,0.9,NA,2.3,1.8,0.9
10.8,NA,32.2,NA,121.7,203.2,29.1
13.9,NA,33.2,NA,97.2,203.8,37.2
0.1,NA,2.1,NA,8.9,1.7,0.7
0.1,NA,6.1,NA,21,1.5,0.2
0.1,NA,3.1,NA,11,1.2,1.5
0.1,NA,1.4,NA,15.8,3.3,1.2
0.1,NA,6.3,NA,29.9,1.4,1.8
0.1,NA,5.4,NA,16.7,1.8,1.4
0.1,NA,7.6,NA,24.6,3.3,1.2
0.2,NA,7.5,NA,18.6,1.9,1.8
0.2,NA,5.5,NA,15.1,1.5,2
0.3,NA,1,NA,1.6,8.1,0.3
0.3,NA,13.5,NA,63,6.2,8.9
0.3,NA,1.2,NA,27.6,0.6,0.4
0.3,NA,1.3,NA,29.1,1.1,1.1
NA,2.6,49,36,55,40,92
5.2,30,53,21,62,20,88
8.7,21,24,12,34,29,57
1.7,1.9,2.7,4.7,3.4,4,0.9
4.6,4.8,3.5,2.6,98,8.4,16
0.6,0.7,0.8,0.9,1,0.9,1
0.6,0.6,1,NA,2,5.3,0.6
8,0.6,1,NA,2,7,1
2,2,2,NA,43,1,0.6
20,NA,27,NA,8,7,4
2,2,3,NA,7,5,3
1,3,2,NA,50,2,2
4,3,7,NA,8,40,2
1,3,10,NA,27,4,3
1,4,6,NA,11,58,3
2,4,2,NA,13,15,4
5,4,10,NA,14,10,4
1,5,2,NA,65,3,3
3,5,8,NA,18,93,4
3,5,4,NA,77,2,3
4,5,17,NA,7,12,1
3,6,13,NA,15,33,4
4,6,16,NA,19,40,4
4,6,15,NA,17,33,3
7,8,10,NA,10,37,4
5,9,11,NA,8,18,11
4,10,13,NA,21,17,23
5,12,17,NA,17,11,11
0.1,14,2,NA,13,2,1
7,14,28,NA,35,85,9
8,16,19,NA,13,51,9
13,22,35,NA,41,34,82
12,27,50,NA,52,63,50
2,29,41,NA,37,77,14
9,30,62,NA,106,17,33
10,35,23,NA,20,105,31
3,41,17,NA,400,54,118
3,82,78,NA,101,90,40
1,2,4,NA,5,14,1
5.5,2.7,6.3,4.7,9.1,3.9,2.5
11,5.9,2,2.9,52,5.7,20
4.3,1.2,18,23,3.8,8,0.4
1,1.2,1.3,1.2,1.4,1.1,1.2
NA,NA,0.9,0.8,1.8,0.9,0.8
0.6,NA,0.7,0.6,1.1,0.9,0.6
5.6,3.8,32,25,34,58,3
0.8,0.6,0.5,0.6,0.7,0.8,0.9
3.4,19,20,35,27,58,7.6
13,14,16,11,12,32,10
1.5,1.4,1.5,1.4,1.8,1.7,1.1
1.3,NA,5,NA,34,22,60
6,10,7.9,11,13,36,3.9
1.1,2.3,5,1.6,13,5.1,1.7
0.3,0.8,0.6,0.4,0.9,0.8,0.7
0.8,0.9,1.5,0.7,3.4,1.8,1.3
0.8,NA,1,NA,1.4,0.8,0.7
13,13,8.8,20,17,142,79
0.7,0.6,0.6,0.6,0.7,0.8,0.5
12,NA,12,NA,102,105,186
NA,NA,9.6,NA,3.9,NA,1.5
NA,NA,2.4,NA,4.1,NA,0.3
NA,NA,20,NA,16.8,NA,1.4
NA,NA,4.5,NA,6.4,NA,0.7
NA,NA,2.5,NA,3.7,NA,0.7
NA,NA,0.5,NA,NA,1.4,1.5
NA,NA,25.2,NA,23,NA,4.8
NA,NA,34.6,NA,27.4,NA,4.8
NA,NA,25.8,NA,33.3,NA,3.8
NA,NA,15.8,NA,37,NA,4.4
NA,NA,34.5,NA,49.8,NA,7.2
4.6,NA,15.6,20.3,17.8,101.9,1.9
1.4,NA,10.2,5.2,7.4,12.1,1.5
3.4,NA,12.6,2.5,33.5,22.6,32.4
5.4,NA,10.6,9.4,30.1,19.5,29.8
6.6,NA,6.8,78.7,8.5,26.6,0.4
0.6,NA,15.7,0.7,54.7,4.5,3.4
2.9,NA,8.7,46.3,1.6,16.2,0.6
1,NA,6.8,24.6,17.2,33.7,0.8
NA,NA,7.1,2.3,7.2,21.6,0.9
1.3,NA,1.8,2.8,2.3,5,1.8
8.5,NA,156,99,205,260.9,52
2.6,10,17,17,12,54,15
0.9,1.1,1.1,1,1.4,1.1,1.1
1.7,5.5,9,2.6,6.4,11,1.7
0.7,67,17,4.4,97,19,34
7.9,NA,58,NA,95,41,134
8.2,NA,20,57,56,200,11
3.6,NA,15,4.3,45,5.9,2.6
0.8,NA,1.3,1,54,2.1,1.6
1.1,NA,1,NA,1.1,0.9,1
0.6,NA,1,NA,1.1,0.8,0.9
0.5,NA,0.7,NA,0.7,0.6,0.7
0.7,NA,0.9,0.9,1.2,0.9,0.8
0.6,NA,0.7,NA,0.8,0.5,0.6
1.9,NA,2.8,NA,160.4,8.2,9.6
1.3,NA,3.2,NA,74,4,7.1
1.1,NA,2.6,NA,124,3.6,4.4
2,NA,5.3,NA,57,3.4,9.3
11.4,NA,1.1,NA,109,4.7,6.1
3.7,NA,3.9,NA,171.4,5.7,38.1
0.4,NA,1.3,NA,32.8,2.1,3.7
2.7,NA,5.2,NA,140.1,10.2,21
1.5,NA,5.8,NA,219,17,24
2.3,NA,8.4,NA,400,35,72
1.2,NA,1.7,NA,47,2.5,5
1,NA,2.3,NA,67,3.1,3.9
28,NA,6.8,NA,400,31,45
1.3,NA,3.5,NA,74,3.3,5.2
2.2,NA,12,NA,140,27,46
130,NA,25,NA,400,275,290
17,NA,79,66,74,73,5.7
17,NA,51,67,96,120,2.4
0.6,NA,0.8,0.6,1.2,0.8,0.5
0.6,NA,0.6,0.6,0.8,0.7,0.6
2.2,NA,17,3.7,43,4.4,6.7
5.9,NA,39,60,70,250,59
0.4,NA,0.3,0.3,0.5,0.5,0.4
7,NA,25,14,31,32,4
0.5,NA,0.7,0.5,0.7,0.4,0.7
0.8,NA,0.9,0.8,1.3,1.2,1.5
0.7,NA,1.2,0.9,1.5,1.1,1
0.9,NA,1.1,1.1,1.4,1.3,0.8
0.7,NA,3.4,4.2,6.7,30,0.4
2.8,NA,11,16,23,48,4.7
3.1,NA,14,18,39,77,5.9
12,NA,40,41,31,108,5.9
0.6,NA,0.9,0.5,1.5,0.9,0.5
2.1,NA,24,21,23,42,143
1.8,NA,11,8.1,12,41,4.5
2.8,NA,16,53,20,85,9.4
3.5,NA,7.7,13,7,78,14
8.5,NA,29,51,40,79,7.4
1.6,NA,19,17,19,45,1.8
1.6,NA,11,1.9,45,5.4,10
3.1,NA,18,108,78,214.2,153
11,NA,20,37,91,54,81
1.4,NA,2.8,1.7,4.4,3.1,0.9
5.8,NA,7.4,7,6.1,45,1.3
3.6,NA,8.1,6.1,27,28,23
0.8,NA,1.1,0.8,1.9,1.5,1.1
5.2,NA,73,39,58,109,155
0.7,NA,1,0.8,1.5,1.1,0.9
6,NA,22,33,43,79,7.1
1.2,NA,1.5,1.3,3.1,3.5,1.2
29,NA,53,185,106,173.9,165
11,NA,58,34,131,129,400
29,NA,6.6,4.2,23,48,24
8.7,NA,187.5,66,139,103,400
0.7,NA,1,0.7,1.7,1.1,0.7
37,NA,20,252,35,176.4,25
8,NA,139,108,136,196.7,66
5,NA,8.1,11,8.6,105,18
9.8,NA,11,4.3,18,17,20
0.1,NA,2.5,NA,14.6,0.6,2.4
0.8,0.9,0.8,0.9,0.8,0.8,0.8
0.5,0.7,0.9,0.7,1.7,0.7,0.8
4.7,5.5,4.5,4.5,6,19,1.3
1.4,NA,1.3,1.3,2.3,1.6,1.2
4,16,30,37,43,177,37
1.8,1.9,0.9,1,7,2.9,1.4
0.3,NA,0.4,0.4,1,0.5,0.4
0.4,1.3,1,0.5,18,0.6,1.1
1.5,1,1.2,0.8,1.7,1,0.9
0.8,1.1,1.1,1.1,1.5,1.2,1.6
NA,NA,1.1,NA,2.3,1.4,0.6
NA,NA,0.4,NA,0.5,0.6,0.5
0.4,NA,0.5,NA,0.8,0.8,0.7
2,NA,1.4,NA,1.5,2.2,1.7
NA,NA,0.8,NA,0.7,1.1,0.7
1.5,NA,1.4,NA,1.4,1.5,1.1
NA,NA,0.9,NA,0.9,1.1,0.5
1,NA,0.8,NA,1.2,1.1,0.8
0.8,NA,1.2,NA,2.5,3,1.3
NA,NA,0.8,NA,1.5,1.3,0.6
0.3,NA,0.4,NA,0.2,0.3,0.5
NA,NA,0.9,NA,1.8,0.9,0.6
0.6,NA,0.5,NA,0.9,0.5,0.7
NA,NA,0.8,NA,0.9,0.8,0.5
NA,NA,0.6,NA,0.6,0.8,0.5
NA,NA,0.8,NA,1.1,0.5,0.3
NA,NA,0.5,NA,0.5,0.6,0.4
NA,NA,0.8,NA,1.2,0.9,0.8
NA,NA,0.3,NA,0.4,0.5,0.1
NA,NA,0.8,NA,1.3,1.3,0.7
NA,NA,0.9,NA,2.6,2.3,1.1
0.3,NA,0.5,NA,1.4,0.5,0.3
0.8,NA,0.8,NA,0.8,1,1.2
0.6,NA,0.7,NA,0.6,0.8,0.9
0.5,NA,0.7,NA,1,0.9,0.7
0.6,NA,0.8,NA,0.9,1,0.9
1.3,NA,0.8,NA,0.8,1.4,0.9
2.1,NA,1.3,NA,2.5,2.8,1.3
2,NA,1.4,NA,2.7,2.3,1.2
1.3,NA,1.1,NA,2,1.8,1.2
1.3,NA,1.9,NA,3.2,3,2.6
NA,NA,0.9,NA,1.4,0.9,0.5
0.7,NA,1,NA,1.4,1.1,0.8
NA,NA,0.9,NA,1,0.8,0.6
NA,NA,1.4,NA,1.3,3.6,1.2
NA,NA,1,NA,2.7,2.8,1
1.1,NA,1.1,NA,1.9,1.9,1.1
0.4,NA,0.4,NA,0.7,0.3,0.4
1,NA,1.9,NA,60,1.5,2
0.9,NA,1.7,NA,2.7,1.5,1.1
1.1,NA,0.7,NA,1.7,0.9,0.8
0.4,NA,0.3,NA,0.5,0.4,0.5
0.4,NA,0.5,NA,7.1,0.4,0.5
0.8,NA,1.2,NA,24.7,1,0.9
3,NA,2.8,NA,2.2,16.1,1
4.4,NA,3.9,NA,3.6,22.4,1.7
3.6,NA,3.6,NA,6.2,12,9
4.5,NA,4.2,NA,11.5,11.3,4.9
2.3,NA,3.7,NA,3,4.4,12.9
0.1,NA,1.5,NA,2.3,0.3,0.4
0.1,NA,2.5,NA,5.1,0.7,1.4
0.1,NA,2.3,NA,8.1,0.8,1.1
0.1,NA,3,NA,12.8,1.3,1.2
0.1,NA,2.9,NA,12.2,1.3,1.4
0.3,NA,0.4,NA,0.4,0.4,0.3
1,NA,1.1,NA,1.4,1.2,1
0.9,NA,1.7,NA,2.4,1.7,1.2
1,1,1,NA,1,1,NA
0.2,5.4,0.1,NA,0.2,0.1,NA
0.7,2.4,0.6,NA,1.1,0.5,NA
0.2,10,0.3,NA,0.3,0.2,NA
1,1,1,NA,1,1,NA
0.1,2,0.1,NA,0.1,0.1,NA
0.3,2,1,NA,1.3,0.7,NA
0.2,6,0.3,NA,0.3,0.2,NA
1,1,1,NA,1,1,NA
0.3,3,0.1,NA,0.1,0.3,NA
0.6,0.9,1.2,NA,1.4,2,NA
0.3,6,0.1,NA,0.2,0.2,NA
1.8,NA,6.2,1.2,7.6,NA,24.7
3.2,NA,5.1,5.3,4.1,NA,1.3
2.5,NA,2.4,2.3,3.6,NA,1.8
0.8,NA,1.2,0.8,30.1,NA,0.4
7.8,NA,0.6,3.6,1.4,NA,1.1
0.6,NA,1.3,0.8,1.1,NA,0.6
2.9,NA,2.6,2.4,4.8,NA,8
3.5,NA,3.5,3.8,6,NA,5.7
3.9,NA,31.1,18.1,30,NA,25.4
9.9,NA,29.4,22.3,48.6,NA,91.4
11,NA,180,100.7,143.6,NA,350
1.8,NA,1.5,1.6,1.3,1.1,1.3
8.4,NA,3.2,7.7,3.4,4,3.7
21,NA,1.6,19,2.9,5.2,1.3
48,NA,2.4,31,4.1,6.5,2
4.6,NA,2.1,6.2,2.6,3.6,2.7
18,NA,1.2,15,3.3,5,1.4
0.1,NA,1.6,NA,2.4,0.4,0.5
0.1,NA,2.6,NA,5.1,0.8,1.4
0.1,NA,2.3,NA,8.2,0.9,1.2
0.1,NA,3.1,NA,12.9,1.4,1.2
0.1,NA,3,NA,12.2,1.3,1.5
0.4,NA,0.5,NA,0.4,0.5,0.4
1.1,NA,1.1,NA,1.4,1.3,1
0.9,NA,1.7,NA,2.5,1.7,1.2
1,0.7,0.6,0.8,1.3,0.8,0.6
1,1.5,0.8,0.6,3.2,1.2,0.8
0.9,4.1,2.4,NA,83,1.3,2.4
3.9,49,8.2,NA,232,13,33
0.7,1.1,1,NA,1.2,1.2,0.7
0.8,0.9,0.9,NA,1.1,1.1,0.9
0.5,1.9,1.1,NA,25,0.6,0.5
0.8,2.9,1.3,NA,5.8,2.4,0.8
1.6,141,27,NA,86,9.8,111
0.2,6,4.2,NA,7.7,0.8,1.3
0.4,7.9,0.4,NA,0.8,0.2,0.5
0.8,0.8,1,NA,1.2,1.1,0.7
0.3,31,12,NA,66,3.6,12
1.6,2.7,1.8,NA,7.4,1.6,1
4.3,3.8,2.6,NA,15,13,3.5
0.3,9.9,0.5,NA,1,0.1,0.3
0.5,0.6,0.8,NA,1.1,0.7,0.5
1.1,12,2.8,NA,72,2.8,6.9
0.6,1.5,1.2,NA,31,0.9,1.1
0.9,0.8,0.8,NA,1.3,0.8,0.8
0.8,8.8,0.4,NA,0.9,0.2,0.3
0.4,0.7,0.8,NA,1.5,1,0.7
1.4,7.6,2.3,NA,142,0.8,NA
0.1,22,0.1,NA,6,0.1,NA
0.5,0.7,0.4,NA,12,0.7,0.6
4.3,22,24,NA,56,19,24
0.6,0.7,0.7,NA,0.8,0.6,0.7
1,2.3,1.9,NA,46,1.1,2
0.6,0.7,0.7,NA,0.8,0.9,0.6
0.5,5.2,0.3,NA,0.3,0.1,0.1
0.5,0.6,0.6,NA,1,0.5,0.4
1.3,4,3.4,NA,91,4.3,5.6
2.7,14,5.2,NA,140,10,21
3.2,2.1,4.6,NA,23,8.2,2.1
2.1,6.9,7.8,NA,35,7.6,5.8
0.4,0.7,0.5,NA,0.6,0.6,0.5
0.3,0.8,0.4,NA,13,0.3,0.3
1.2,7.4,2.6,NA,82,1.8,2.7
0.5,1.8,0.9,NA,14,0.6,0.5
6.2,3.4,1.3,NA,59,9.9,18
0.9,1.4,0.9,NA,4.6,1,0.8
3.4,NA,9.1,NA,30.3,21,30.3
0.9,NA,1.3,NA,2.5,1.4,1
0.6,NA,0.7,NA,1.1,0.9,0.6
0.7,NA,1,NA,47,1.4,1.5
1.1,NA,1.1,NA,1.5,1.7,0.9
0.8,NA,1,NA,1.4,1.3,1.1
0.6,NA,1.6,NA,38.9,1,0.9
1.2,NA,17.1,NA,21,61.2,3.8
3,NA,4.3,NA,4.5,16.5,0.7
0.8,NA,1.3,NA,1.8,1.4,1.2
0.5,NA,0.7,NA,1.3,0.9,1
6,NA,10.5,NA,18.4,12,18
1.3,NA,1.3,1.1,2.6,1.6,1.5
1.6,NA,5.2,2.8,5.8,14,1.6
0.8,NA,0.6,0.7,0.9,0.8,0.7
0.6,0.8,1,0.7,0.8,0.7,0.6
14,8.8,6.8,17,15,63,4.1
5.4,4.7,9.4,7.4,9.9,20,33
1,NA,7.2,1.3,21,5.1,8.4
1,2.6,2.1,1,53,2.1,2.6
1.2,1.4,1.8,1,3.4,3.4,3.7
0.8,1.1,1,1,2,1.5,0.8
5.6,65,150,75,89,140,59
4.8,NA,53,56,59,82,6.2
1.9,1.5,1.5,1.5,2.4,1.9,1.2
0.4,NA,0.4,0.4,0.5,0.4,0.6
1.1,0.9,0.7,0.9,1,1.5,0.8
0.5,NA,0.6,0.6,0.6,0.6,0.5
0.4,0.9,0.9,0.8,0.7,0.6,1
2.3,19.3,17,9.9,18.4,45.3,16.7
0.6,0.7,0.8,0.6,1,0.7,0.8
0.6,1.3,1.1,0.6,23.3,0.6,0.3
1,15.2,23.4,10.1,29.8,36.7,7.1
2.1,1.9,2.5,4.3,2.5,14.5,1.2
1.5,27.4,31.4,13.2,43.6,73.5,21.4
1.2,2.5,1.8,1.2,45,0.9,2.3
1.3,2.6,3.5,1.4,4.1,7.6,0.4
4.9,10.8,24.5,7.5,56,9.3,16.2
4.1,17.2,8.4,10.9,6.1,61.5,20.9
6.3,NA,7.5,6.3,17.6,48.7,47.7
1.7,NA,1.2,0.4,15.3,1.6,6.1
5.4,NA,1.3,NA,58.7,8.6,14.1
8.6,NA,4.1,1.6,74.3,10,55.9
10.4,NA,10.7,3.1,395.3,9.1,92
64.1,NA,62.9,46.8,143.8,21.6,24.4
23,NA,42.3,7.2,400,59.8,400
118.1,NA,24.2,77,400,400,137.2
31.1,NA,26.8,NA,400,84.5,140.6
42.5,NA,78.3,11.4,400,76,364.6
32,NA,57.8,13.8,400,42.1,241.1
28.1,NA,52.6,9,400,54.2,256.2
19,NA,41,6,271,31,105
20.9,NA,38,13.9,63.9,33.7,24
74,NA,92.1,123.5,400,141.1,400
252.2,NA,400,94.4,400,86.2,265.5
1.6,NA,1.3,1.9,3,4.9,3.9
24.8,NA,8.6,37.5,3,7.2,2
2.3,NA,1.9,1.4,1.8,4.7,2.8
1.6,NA,3.2,1.9,4.3,2.8,1.8
2.2,NA,1.4,2,2.3,4.6,1.9
12.5,NA,33.9,28.9,8.5,5,3.5
42.6,NA,33.6,80.2,30.8,92.9,30.4
40,NA,16.7,79,14,33.3,14.3
4.6,NA,6.3,9.5,8.4,22.4,4.5
39.5,NA,79.2,99.3,101.9,84.5,43.1
52.7,NA,41.5,102.7,136.6,275,162.3
NA,NA,2.7,NA,7.8,12.6,4.9
0.4,NA,25.3,NA,27.8,27.8,3.2
0.2,NA,6.1,NA,31.4,1.7,1.2
4.2,NA,6.1,NA,400,11.9,13.5
3.4,NA,1.6,NA,3,7.3,5.5
4.3,NA,21.9,NA,76.7,113,181
1,NA,4.8,NA,3.5,5.8,0.9
0.8,NA,1,0.7,1.6,1,0.9
0.9,0.9,1,0.7,1.3,1,0.8
0.8,0.7,0.8,0.7,0.9,0.7,0.6
0.8,NA,0.7,0.7,1,1,0.7
0.5,0.9,0.9,0.7,0.5,0.5,0.8
1,NA,3.6,1.3,5.7,3,2.4
1.4,1.3,1.4,1.2,1.5,1.3,1.2
1,1.2,1.6,1.1,2.3,1.2,1
0.4,0.9,1,0.7,1.4,0.8,0.7
0.5,2.5,1.1,0.7,38,1.2,15
7.8,43,41,45,67,400,22
15,NA,NA,48,NA,160,NA
0.7,1,1,1.1,1.6,1.5,1.3
0.8,8.4,2.2,1.8,88,9.2,40
18,41,89,108,63,96,219
1.2,1.5,2.9,2.8,2.5,8.7,0.6
44,NA,25,153,31.1,400,26
13,NA,77,34,116,87,278
2.8,NA,33,21,27,178,54
0.6,NA,0.8,0.5,1.3,0.6,0.5
3.1,11,10,6.2,13,41,165
27,0.6,21,54,6.5,12,0.5
1.8,1.3,1.6,1.1,1.5,1.2,1.2
1,1.2,1.5,0.8,1.6,1.1,0.8
3.8,61,33,44,62,230,40
NA,NA,13,17,24,24,15
NA,26,28,26,36,40,25
NA,NA,178,400,175,400,84
NA,NA,102,122,113,400,400
NA,NA,0.9,0.8,1.3,0.8,0.5
NA,NA,1.8,1.1,3.3,1.5,1
NA,NA,1.8,1.2,2.4,1.5,1.1
NA,NA,0.7,0.6,0.7,0.5,0.5
NA,NA,1.1,0.9,2.2,1.1,1.1
NA,NA,10,28,59,94,100
0.3,NA,0.4,0.3,0.4,0.3,0.3
0.6,NA,1,1,1.1,1.1,1.1
1,0.7,1.2,0.7,0.9,0.7,0.9
4.9,45,74,30,92,75,400
1.4,1.3,5.8,13,4.7,18,0.9
0.7,0.8,0.8,0.7,0.6,0.6,1
19,17,37,17,47,46,67
0.7,0.6,0.7,0.7,0.9,0.6,0.8
0.7,1.3,1,0.8,0.9,0.7,0.9
0.7,NA,0.7,0.6,0.7,0.7,0.6
0.6,NA,0.7,0.7,0.8,0.6,0.6
0.7,0.7,0.7,NA,0.8,0.8,0.7
0.9,NA,0.9,0.7,1,0.9,0.8
1.5,1.5,1.2,1.3,1.9,1.7,1
1.1,1.1,1,1.1,1.1,1.3,1
1.2,1.1,0.8,1.1,1.1,1.2,0.8
